City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Nikolskoye,RU,2022-08-06 19:12:08,59.7035,30.7861,60.8,95,100,4.14
178,Ust-Uda,RU,2022-08-06 19:12:09,54.1742,103.0304,51.26,83,100,7.02
179,Chuy,UY,2022-08-06 19:12:09,-33.6971,-53.4616,51.51,68,100,8.3
180,Los Llanos De Aridane,ES,2022-08-06 19:12:10,28.6585,-17.9182,71.35,73,75,12.66
181,Siuna,NI,2022-08-06 19:12:10,13.7332,-84.7773,87.01,56,100,7.34
182,Yumen,CN,2022-08-06 19:12:10,40.2833,97.2,76.28,26,100,6.33
183,Saint-Philippe,RE,2022-08-06 19:13:11,-21.3585,55.7679,67.59,77,57,5.01
184,Whitehorse,CA,2022-08-06 19:09:35,60.7161,-135.0538,62.1,52,92,8.99
185,Hilo,US,2022-08-06 19:13:12,19.7297,-155.09,83.28,84,75,8.01
186,Santa Fe,AR,2022-08-06 19:12:03,-31.6333,-60.7,60.03,53,100,8.01
187,Pangkalanbuun,ID,2022-08-06 19:13:12,-2.6833,111.6167,71.78,94,96,1.36
188,Otane,NZ,2022-08-06 19:13:13,-39.8833,176.6333,59.02,80,40,6.38
189,Henties Bay,NA,2022-08-06 19:13:13,-22.116,14.2845,57.18,87,8,2.04
190,Tomatlan,MX,2022-08-06 19:13:13,19.9333,-105.25,90.73,56,64,7.25
191,Hasaki,JP,2022-08-06 19:13:14,35.7333,140.8333,72.28,81,19,6.62
192,Airai,TL,2022-08-06 19:13:15,-8.9266,125.4092,57.15,94,100,2.57
193,Amga,RU,2022-08-06 19:13:15,60.8953,131.9608,59.61,78,37,11.79
194,Fonte Boa,BR,2022-08-06 19:13:15,-2.4959,-66.2662,92.17,44,73,2.15
195,Narsaq,GL,2022-08-06 19:13:16,60.9167,-46.05,50.22,95,100,5.84
196,Berlevag,NO,2022-08-06 19:13:16,70.8578,29.0864,53.6,87,100,11.5
197,Bengkulu,ID,2022-08-06 19:13:17,-3.8004,102.2655,74.79,86,4,3.29
198,Olafsvik,IS,2022-08-06 19:13:17,64.8945,-23.7142,53.73,91,81,4.99
199,Necochea,AR,2022-08-06 19:12:52,-38.5473,-58.7368,47.86,72,99,7.85
200,Makat,KZ,2022-08-06 19:13:18,47.6469,53.3463,83.46,20,100,10.09
201,Saint George,US,2022-08-06 19:09:52,37.1041,-113.5841,94.62,32,0,10.36
202,Okrika,NG,2022-08-06 19:13:19,4.7416,7.0849,76.95,82,99,7.87
203,Bathsheba,BB,2022-08-06 19:13:19,13.2167,-59.5167,88.41,84,40,12.66
204,Sundarnagar,IN,2022-08-06 19:13:20,31.5333,76.8833,73.18,87,54,3.8
205,Moroni,KM,2022-08-06 19:13:20,-11.7022,43.2551,73.96,75,0,8.97
206,Juba,SS,2022-08-06 19:13:21,4.8517,31.5825,70.32,94,73,2.84
207,Dunedin,NZ,2022-08-06 19:13:21,-45.8742,170.5036,47.8,86,100,5.99
208,Sitka,US,2022-08-06 19:13:21,57.0531,-135.33,57.09,94,100,9.22
209,East London,ZA,2022-08-06 19:13:22,-33.0153,27.9116,63.45,78,100,8.86
210,Bredasdorp,ZA,2022-08-06 19:13:23,-34.5322,20.0403,56.55,76,100,18.21
211,Beringovskiy,RU,2022-08-06 19:13:23,63.05,179.3167,50.27,96,100,8.48
212,Dubai,AE,2022-08-06 19:09:44,25.2582,55.3047,100.33,30,0,3.44
213,Vardo,NO,2022-08-06 19:13:24,70.3705,31.1107,51.78,93,100,12.66
214,Broken Hill,AU,2022-08-06 19:13:24,-31.95,141.4333,41.7,85,0,9.24
215,Gasa,PS,2022-08-06 19:10:36,31.5,34.4667,82.89,72,0,5.75
216,Vilyuysk,RU,2022-08-06 19:13:25,63.7553,121.6247,51.96,94,100,1.61
217,Jawhar,SO,2022-08-06 19:13:25,2.7809,45.5005,73.18,77,92,16.06
218,Hami,CN,2022-08-06 19:13:26,42.8,93.45,87.62,15,45,15.08
219,Sorong,ID,2022-08-06 19:13:26,-0.8833,131.25,76.32,91,100,6.35
220,Voh,NC,2022-08-06 19:13:26,-20.9667,164.7,70.54,92,49,2.91
221,Lop Buri,TH,2022-08-06 19:13:27,14.7981,100.654,81.14,84,100,6.17
222,Upington,ZA,2022-08-06 19:13:27,-28.4478,21.2561,67.17,24,100,10.27
223,Cabras,IT,2022-08-06 19:13:27,39.93,8.5314,78.71,82,0,5.93
224,Gogrial,SS,2022-08-06 19:13:28,8.5332,28.1004,73.99,88,97,3.15
225,San Patricio,US,2022-08-06 19:13:28,28.017,-97.5169,93.09,41,94,14.9
226,Norman Wells,CA,2022-08-06 19:13:29,65.282,-126.8329,57.24,88,100,16.11
227,Korla,CN,2022-08-06 19:13:29,41.7597,86.1469,86.97,26,99,10.54
228,Yellowknife,CA,2022-08-06 19:12:17,62.456,-114.3525,64.56,63,100,15.01
229,Vila Do Maio,CV,2022-08-06 19:13:30,15.1333,-23.2167,81.39,88,100,7.58
230,Pierre,US,2022-08-06 19:09:45,44.3683,-100.351,79.86,44,0,17.27
231,Along,IN,2022-08-06 19:14:30,28.1667,94.7667,75.54,98,21,2.21
232,Geraldton,AU,2022-08-06 19:14:30,-28.7667,114.6,50.41,93,100,10.36
233,Grand Gaube,MU,2022-08-06 19:14:31,-20.0064,57.6608,70.2,78,9,1.01
234,Trapani,IT,2022-08-06 19:14:31,37.8333,12.6667,83.28,52,0,6.67
235,Seoul,KR,2022-08-06 19:14:32,37.5683,126.9778,80.04,91,5,2.95
236,Sao Filipe,CV,2022-08-06 19:14:32,14.8961,-24.4956,78.33,85,81,7.52
237,Shellbrook,CA,2022-08-06 19:14:33,53.2168,-106.4011,68.43,42,6,10.38
238,Deputatskiy,RU,2022-08-06 19:14:33,69.3,139.9,44.87,99,100,5.61
239,Sao Miguel Do Araguaia,BR,2022-08-06 19:12:15,-13.275,-50.1628,98.6,17,75,5.03
240,Amapa,BR,2022-08-06 19:14:34,1.0,-52.0,90.91,37,88,5.5
241,Namatanai,PG,2022-08-06 19:14:34,-3.6667,152.4333,77.72,83,88,4.99
242,Ca Mau,VN,2022-08-06 19:11:10,9.1769,105.15,76.62,89,100,8.23
