City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
502,Alekseyevka,RU,80.98,clear sky,50.6309,38.6903,Apartment on Ploshchad Pobedy
511,Aksu,CN,81.05,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
513,La Baule-Escoublac,FR,87.71,clear sky,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
516,Gouyave,GD,86.77,few clouds,12.1646,-61.7296,Rumboat Retreat
517,Dawlatabad,AF,88.65,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
518,Sawai Madhopur,IN,87.48,light rain,25.9833,76.3667,Sawai Madhopur Lodge – IHCL SeleQtions
520,Harper,LR,76.86,overcast clouds,4.375,-7.7169,Screensaver
521,Orange Cove,US,85.69,scattered clouds,36.6244,-119.3137,
522,Telimele,GN,78.62,light rain,10.9167,-13.3333,
528,Dingzhou,CN,75.31,overcast clouds,38.5131,114.9956,宜家时尚宾馆
529,Susanville,US,82.11,clear sky,40.4163,-120.65299999999999,Comfort Inn & Suites
531,Broome,US,88.02,scattered clouds,42.2506,-75.833,Chenango Valley State Park
538,Vanimo,PG,76.53,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
539,Auki,SB,75.92,broken clouds,-8.7676,160.7034,Auki Motel
540,Kamakwie,SL,78.17,light rain,9.5,-12.2333,White House Hotel
543,San Lazaro,BZ,80.56,overcast clouds,18.0387,-88.6622,
544,Mingshui,CN,76.42,moderate rain,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
545,Danville,US,88.18,few clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
546,Santarem,BR,87.93,few clouds,-2.4431,-54.7083,Hotel Imperador
547,Ugoofaaru,MV,81.19,overcast clouds,5.6667,73.0,Ungoofaaru Inn
548,Tabriz,IR,85.46,few clouds,38.08,46.2919,Sina Hotel
549,Russell,US,84.9,few clouds,32.3502,-85.1999,Macs
551,Belmonte Mezzagno,IT,87.44,clear sky,38.0457,13.3947,Hannina Bed & Breakfast Di Francesco Schimmenti
553,Luganville,VU,75.83,clear sky,-15.5333,167.1667,The Espiritu Hotel
557,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
559,Artesia,US,86.14,scattered clouds,33.8658,-118.0831,Sheraton Cerritos Hotel
561,Gat,IL,83.8,clear sky,31.61,34.7642,OlusHome
562,Praia,CV,88.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
565,Bandarbeyla,SO,76.91,broken clouds,9.4942,50.8122,JABIR HOTEL
568,Huaibei,CN,86.63,overcast clouds,33.9744,116.7917,Jinjiang Hotel
571,Natal,BR,86.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
574,Asau,RO,77.92,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
581,Kapoeta,SS,79.05,overcast clouds,4.7717,33.5903,Eastgate Hotel
582,Copacabana,CO,83.73,few clouds,6.3463,-75.5089,Hospedaje Brazil
583,Basco,PH,83.61,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
585,Vila Franca Do Campo,PT,75.61,light rain,37.7167,-25.4333,Pestana Bahia Praia
587,Myitkyina,MM,77.31,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
588,Alghero,IT,87.89,few clouds,40.5589,8.3181,Smy Carlos V Alghero
591,Pierre,US,79.29,clear sky,44.3683,-100.351,Ramkota Hotel
598,Puerto Madero,MX,84.4,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
599,Pismo Beach,US,75.56,clear sky,35.1428,-120.6413,SeaCrest OceanFront Hotel
601,Biak,ID,75.27,overcast clouds,-0.9131,122.8766,Penginapan Kim
602,Moka,JP,80.19,overcast clouds,36.4333,140.0167,Hotel Endless
607,San Roque,ES,81.43,few clouds,36.2107,-5.3842,Hotel Guadacorte Park
611,Carutapera,BR,87.12,scattered clouds,-1.195,-46.02,Lidera
619,Mulege,MX,89.29,overcast clouds,26.8833,-111.9833,Casa Granada
621,Carmo Do Paranaiba,BR,80.74,broken clouds,-19.0008,-46.3161,carmo do paranaiba
624,Uthal,PK,84.78,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
625,Dasoguz,TM,85.95,clear sky,41.8363,59.9666,Hotel Erik
627,Ranong,TH,78.31,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
628,Mountain Home,US,76.48,clear sky,43.133,-115.6912,Mountain Home Inn
633,Mbandaka,CD,79.5,scattered clouds,0.0487,18.2603,Guest House Epervier
635,Port Talbot,GB,85.24,clear sky,51.5924,-3.7802,Best Western Aberavon Beach Hotel
642,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
643,Nador,MA,86.07,few clouds,35.174,-2.9287,Hôtel La Giralda
646,Lagoa Da Prata,BR,82.02,overcast clouds,-20.0225,-45.5436,Pousada Parador da Figueira
647,Corinth,GR,84.88,clear sky,37.9407,22.9573,Ephira Hotel
648,Kaputa,ZM,75.88,clear sky,-8.4689,29.6619,Chelelwa Charlets
655,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
657,Kota Kinabalu,MY,80.58,few clouds,5.9749,116.0724,Gaya Centre Hotel
658,Kalmunai,LK,81.82,overcast clouds,7.4167,81.8167,VS Villa
659,Lenine,UA,82.04,clear sky,45.2986,35.7771,Vostok
660,Winnemucca,US,78.85,clear sky,40.973,-117.7357,Winners Inn Casino
662,Tamandare,BR,79.5,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
665,Sarangani,PH,76.44,moderate rain,5.4033,125.4636,JVL Inn and Cafeteria
666,Ilhabela,BR,76.32,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
674,Puerto Suarez,BO,75.76,scattered clouds,-18.95,-57.8,Hotel casa real
676,Sokoni,TZ,76.86,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
677,Brownsville,US,89.98,broken clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
680,Koltubanovskiy,RU,75.18,overcast clouds,52.9407,52.0269,"Resort ""Pivol'e"""
683,Fuling,CN,83.03,overcast clouds,29.7022,107.3919,Yingbin Hostel
688,Meulaboh,ID,76.78,scattered clouds,4.1363,96.1285,Kost Pria
